ID;Whether TA;Course instructor;Course;Summer;Class size; Class attribute
1;english speaker;23;3;summer;19;high
2;non es;15;3;summer;17;high
3;english speaker;23;3;regular;49;high
4;english speaker;5;2;regular;33;high
5;non es;7;11;regular;55;high
6;non es;23;3;summer;20;high
7;non es;9;5;regular;19;high
8;non es;10;3;regular;27;high
9;english speaker;22;3;summer;58;high
10;non es;15;3;summer;20;high
11;non es;10;22;regular;9;high
12;non es;13;1;regular;30;high
13;non es;18;21;regular;29;high
14;non es;6;17;regular;39;high
15;non es;6;17;regular;42;medium
16;non es;6;17;regular;43;medium
17;non es;7;11;regular;10;medium
18;non es;22;3;regular;46;medium
19;non es;13;3;summer;10;medium
20;non es;7;25;regular;42;medium
21;non es;25;7;regular;27;medium
22;non es;25;7;regular;23;medium
23;non es;2;9;regular;31;medium
24;non es;1;15;summer;22;medium
25;non es;15;13;regular;37;medium
26;non es;7;11;regular;13;medium
27;non es;8;3;regular;24;medium
28;non es;14;15;regular;38;medium
29;non es;21;2;regular;42;low
30;non es;22;3;regular;28;low
31;non es;11;1;regular;51;low
32;non es;18;5;regular;19;low
33;non es;13;1;regular;31;low
34;english speaker;13;3;summer;13;low
35;non es;5;2;regular;37;low
36;non es;16;8;regular;36;low
37;non es;4;16;regular;21;low
38;non es;5;2;regular;48;low
39;non es;14;15;regular;38;low
40;english speaker;23;3;summer;19;high
41;non es;15;3;summer;17;high
42;english speaker;23;3;regular;49;high
43;english speaker;5;2;regular;33;high
44;non es;7;11;regular;55;high
45;non es;23;3;summer;20;high
46;non es;9;5;regular;19;high
47;non es;10;3;regular;27;high
48;english speaker;22;3;regular;58;high
49;non es;15;3;summer;20;high
50;non es;10;22;regular;9;high
51;non es;13;1;regular;30;high
52;non es;18;21;regular;29;high
53;non es;6;17;regular;39;high
54;non es;6;17;regular;42;medium
55;non es;6;17;regular;43;medium
56;non es;7;11;regular;10;medium
57;non es;22;3;regular;46;medium
58;non es;13;3;summer;10;medium
59;non es;7;25;regular;42;medium
60;non es;25;7;regular;27;medium
61;non es;25;7;regular;23;medium
62;non es;2;9;regular;31;medium
63;non es;1;15;summer;22;medium
64;non es;15;13;regular;37;medium
65;non es;7;11;regular;13;medium
66;non es;8;3;regular;24;medium
67;non es;14;15;regular;38;medium
68;non es;21;2;regular;42;low
69;non es;22;3;regular;28;low
70;non es;11;1;regular;51;low
71;non es;18;5;regular;19;low
72;non es;13;1;regular;31;low
73;english speaker;13;3;summer;13;low
74;non es;5;2;regular;37;low
75;non es;16;8;regular;36;low
76;non es;4;16;regular;21;low
77;non es;5;2;regular;48;low
78;non es;14;15;regular;38;low
79;english speaker;23;3;summer;25;high
80;english speaker;13;3;summer;17;high
81;non es;16;19;regular;11;high
82;non es;9;2;regular;39;high
83;non es;13;3;summer;11;high
84;non es;18;21;regular;19;high
85;english speaker;22;3;regular;45;high
86;non es;7;11;summer;20;high
87;non es;23;3;summer;20;high
88;english speaker;23;3;summer;20;high
89;english speaker;23;3;regular;38;high
90;non es;14;22;regular;17;high
91;english speaker;17;17;regular;19;high
92;non es;9;5;regular;24;high
93;non es;18;25;regular;25;high
94;english speaker;17;17;regular;31;high
95;non es;1;15;regular;31;high
96;non es;1;8;regular;18;medium
97;english speaker;11;16;regular;22;medium
98;english speaker;22;13;regular;27;medium
99;non es;9;2;regular;14;medium
100;non es;13;1;regular;20;medium
101;english speaker;6;17;regular;35;medium
102;non es;23;3;summer;20;medium
103;english speaker;23;3;summer;20;medium
104;non es;6;17;regular;37;medium
105;english speaker;22;3;regular;15;medium
106;non es;20;2;regular;25;medium
107;non es;23;3;regular;10;medium
108;non es;20;2;regular;14;low
109;english speaker;23;3;regular;38;low
110;non es;13;1;regular;29;low
111;non es;10;3;regular;19;low
112;non es;7;11;regular;30;low
113;english speaker;14;15;regular;32;low
114;non es;8;3;regular;27;low
115;non es;12;7;regular;34;low
116;non es;8;7;regular;23;low
117;non es;15;1;regular;66;low
118;non es;23;3;regular;12;low
119;non es;2;9;regular;29;low
120;non es;15;1;regular;19;low
121;non es;20;2;regular;3;low
122;non es;13;14;regular;17;high
123;non es;9;6;regular;7;high
124;english speaker;10;3;regular;21;high
125;non es;14;15;regular;36;high
126;english speaker;13;1;regular;54;high
127;english speaker;8;3;regular;29;high
128;non es;20;2;regular;45;high
129;non es;22;1;regular;11;medium
130;non es;18;12;regular;16;medium
131;non es;20;15;regular;18;medium
132;english speaker;17;18;regular;44;medium
133;non es;14;23;regular;17;medium
134;non es;24;26;regular;21;medium
135;non es;9;24;regular;20;medium
136;non es;12;8;regular;24;medium
137;non es;9;6;regular;5;medium
138;non es;22;1;regular;42;medium
139;non es;7;11;regular;30;low
140;non es;10;3;regular;19;low
141;non es;23;3;regular;11;low
142;non es;17;18;regular;29;low
143;non es;16;20;regular;15;low
144;non es;3;2;regular;37;low
145;non es;19;4;regular;10;low
146;non es;23;3;regular;24;low
147;non es;3;2;regular;26;low
148;non es;10;3;regular;12;low
149;english speaker;18;7;regular;48;low
150;non es;22;1;regular;51;low
151;non es;2;10;regular;27;low
